FM9102 100 12-12 12-12 21:35 1178 波音737 北京 上海
MU2704 100 12-09 12-09 17:30 641 空客321 太原 西安
JD5301 100 12-15 12-15 22:05 1307 空客320 西安 杭州
HU7827 100 12-17 12-18 21:30 1648 波音737 西安 广州
MU2336 100 12-09 12-09 20:00 1476 空客320 西安 上海
9C8734 100 12-13 12-13 17:35 1375 空客320 太原 上海
CA2731 100 12-17 12-17 19:10 1388 波音737 成都 太原
MU5532 100 12-14 12-14 19:35 1269 波音737 太原 南昌
AB123 100 12-15 12-15 08:00 500 A320 北京 上海
CD456 100 12-15 12-15 09:30 800 B737 上海 广州
EF789 100 12-16 12-16 10:45 1200 A330 广州 北京
GH012 100 12-16 12-16 13:15 950 B747 北京 深圳
IJ345 100 12-17 12-17 15:20 700 A320 深圳 香港
KL678 100 12-17 12-17 18:10 300 A319 香港 台北
MN910 100 12-18 12-18 21:00 400 B737 台北 北京
OP123 100 12-18 12-18 23:45 600 A321 北京 东京
QR456 100 12-19 12-19 06:30 1200 B787 东京 上海
ST789 100 12-19 12-19 08:45 1500 A350 太原 北京
UV012 100 12-20 12-20 12:20 1800 B777 北京 西安
WX345 100 12-20 12-20 14:00 900 A330 杭州 北京
YZ678 100 12-21 12-21 16:30 2000 A380 广州 北京
AB121 100 12-21 12-21 19:45 2500 B747 北京 成都
CD222 100 12-22 12-22 22:10 3000 A380 南昌 北京
EF333 100 12-22 12-22 01:20 3500 B787 巴黎 纽约
GH444 100 12-23 12-23 04:00 4000 A350 纽约 东京
IJ555 100 12-23 12-23 07:15 4200 A330 纽约 华盛顿
KL666 100 12-24 12-24 10:30 3900 B777 巴黎 东京
MN777 100 12-24 12-24 13:40 3800 A340 北京 深圳
OP888 100 12-25 12-25 16:55 3500 B787 香港 北京
QR999 100 12-25 12-25 19:10 3100 A330 台北 北京
ST000 100 12-26 12-26 22:30 3200 B777 杭州 东京
UV121 100 12-26 12-26 01:45 3000 A350 巴黎 杭州
WX222 100 12-27 12-27 05:00 2900 B787 纽约 北京
YZ333 100 12-27 12-27 08:15 2800 A330 北京 华盛顿
AB444 100 12-28 12-28 12:30 2700 A320 纽约 深圳
CD555 100 12-28 12-28 14:45 2600 B737 深圳 台北
EF666 100 12-29 12-29 18:00 2500 A321 巴黎 香港
GH777 100 12-29 12-29 21:15 2400 B747 香港 东京
IJ888 100 12-30 12-30 00:30 2300 A330 台北 纽约
KL999 100 12-30 12-30 03:45 2200 B787 华盛顿 台北
MN000 100 12-09 12-09 07:00 2100 A320 东京 华盛顿
OP121 100 12-11 12-11 10:15 2000 B737 广州 华盛顿
QR222 100 12-13 12-13 13:30 1900 A330 纽约 广州
